,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,008:008-019,90 1/2 Seal Tie Fitting,Tax,,6
,Non-inventory Part,008:008-020,Three Hole Outdoor Box,Tax,,20
,Non-inventory Part,008:008-021,"Indoor 2"" x 4"" Box",Tax,,5
,Non-inventory Part,008:008-022,Outdoor Double Box,Tax,,20
,Non-inventory Part,008:008-023,4S Box,Tax,,10
,Non-inventory Part,008:008-024,SLB 1/2,Tax,,9
,Non-inventory Part,008:008-025,On/Off Switch with Cover,Tax,,40
,Non-inventory Part,008:008-026,Bell Box,Tax,,7.5
,Non-inventory Part,008:008-027,Out Door Blank Cover,Tax,,6
,Non-inventory Part,008:008-028,Outdoor Cover On/Off Switch,Tax,,7
,Non-inventory Part,008:008-029,Indoor Cover For on/off Switch,Tax,,3
,Non-inventory Part,008:008-030,Pipe to Box 1/2 PVC Connector,Tax,,2
,Non-inventory Part,008:008-031,1/2 Coupler PVC,Tax,,2
,Non-inventory Part,008:008-032,90 PVC 1/2,Tax,,8
,Non-inventory Part,008:008-033,PVC Coupler 3/4,Tax,,3
,Non-inventory Part,008:008-034,PVC Connector 3/4,Tax,,3
,Non-inventory Part,008:008-035,PVC SLB,Tax,,8
,Non-inventory Part,008:008-036,90 PVC 3/4,Tax,,9
,Non-inventory Part,008:008-037,90 Deg Pulling Elbow 1/2,Tax,,8
,Non-inventory Part,008:008-038,Fuse (any size),Tax,,5
,Non-inventory Part,008:008-039,Flush Mount Phone Box,Tax,,85
,Non-inventory Part,008:008-040,Finish  Electrical Box,Tax,,10
,Non-inventory Part,008:008-041,Door Bell,Tax,,45
,Non-inventory Part,008:008-042,Push Button,Tax,,20
,Non-inventory Part,008:008-043,1 to 1/2 PVC Reducer,Tax,,4
,Non-inventory Part,008:008-044,3/4 to 1/2 PVC Reducer,Tax,,3
,Non-inventory Part,008:008-045,3/4 to 1/2 Reducer,Tax,,2.5
,Non-inventory Part,008:008-046,Double Box Cover Blank,Tax,,9
,Non-inventory Part,008:008-047,Three Button Station,Tax,,65
